Alpine Mountain, Scranton, Pennsylvania
Bear Creek, Macungie, Pennsylvania
Belleayre, Highmount, New York
Berkshire East, Charlemont, Massachusetts
Big Boulder, Lake Harmony, Pennsylvania
Blandford, Blandford, Massachusetts
Blue Mountain, Palmerton, Pennsylvania
Bolton Valley, Bolton Valley, Vermont
Bousquet, Pittsfield, Massachusetts
Bromley, Manchester Center, Vermont
Butternut, Great Barrington, Massachusetts
Camelback, Tannersville, Pennsylvania
Campgaw, Mahwah, New Jersey
Catamount, Hillsdale, New York
Eagle Rock, Hazleton, Pennsylvania
Elk Mountain, Union Dale, Pennsylvania
Gore Mountain, North Creek, New York
Greek Peak, Virgil, New York
Hidden Valley, Vernon, New Jersey
Holiday Mountain, Monticello, New York
Hunter, Hunter, New York
Jack Frost, Blakeslee, Pennsylvania
Jiminy Peak, Hancock, Massachusetts
Killington, Killington, Vermont
Labrador, Truxton, New York
Lake Placid/Whiteface, Wilmington, New York
Mad River Glen, Fayston, Vermont
Magic Mountain, Londonderry, Vermont
Middlebury Snow Bowl, Middlebury, Vermont
Mohawk Mountain, Cornwall, Connecticut
Mont Tremblant, Mont-Tremblant, Quebec
Mount Snow, West Dover, Vermont
Mount Southington, Plantsville, Connecticut
Mount Sunapee, Sunapee, New Hampshire
Mountain Creek, Vernon, New Jersey
Mt. Peter, Warwick, New York
Okemo, Ludlow, Vermont
Pico, Killington, Vermont
Plattekill, Roxbury, New York
Shawnee Mountain, Shawnee on Delaware, Pennsylvania
Ski Big Bear, Lackawaxen, Pennsylvania
Ski Sundown, New Hartford, Connecticut
Smugglers Notch, Jeffersonville, Vermont
Sno, Scranton, Pennsylvania
Song Mountain, Tully, New York
Spring Mountain, Spring Mountain, Pennsylvania
Stowe, Stowe, Vermont
Stratton, Stratton Mountain, Vermont
Sugarbush, Warren, Vermont
Thunder Ridge, Patterson, New York
Titus, Malone, New York
Toggenburg, Fabius, New York
Tuxedo, Tuxedo, New York
West Mountain, Glens Falls, New York
Willard, Greenwich, New York
Windham, Windham, New York
Woodbury, Woodbury, Connecticut
